reference,prediction,wer,substitutions,deletions,insertions,ref_len_words,severity
ආගන්තුක සත්කාරයෙත්,ආගන්තු ඔස්සත් කාලයේ,1.5,2,0,1,2,severe
ප්‍රඥාගෝචර නැ.,ප්‍රඥා ගෝචර නෑ.,1.5,2,0,1,2,severe
සැලසුම් සහකාර,සැළසුම් සහ කාර,1.5,2,0,1,2,severe
ඔල්මාදකාරයො කමෙන්ට්වලින්,පොල් මාධා කාරයෝ කමෙන්ට්වලින්,1.5,1,0,2,2,severe
තිබුනනම් කියල,තිබුණ නම් කියලා.,1.5,2,0,1,2,severe
ආචාර්ය හැනිබාල්,ආචාරය හැනි බාල්,1.5,2,0,1,2,severe
මාධ්‍යවේදියෙක් පැවසුවේය.,මාධ්‍යවේදිය පැවසුවේ ය,1.5,2,0,1,2,severe
ඇතිකරගත් ප්‍රශ්නයකි.,ඇති කරගත් පක්ෂණයකි.,1.5,2,0,1,2,severe
තත්ත්වයට පත්වීය.,තත්ත්වයට පත් වී ය,1.5,1,0,2,2,severe
මේ ආශ්‍රම භූමියතුලදී ඉවතලන්නේ,මෙම ආශ්‍රම භූමිය තුළ දී ඉවත රන්නේ,1.5,3,0,3,4,severe
ආසාවක් ඇතිවෙනවා.,ආශාවක් ඇති වෙනවා.,1.5,2,0,1,2,severe
මෙය සිදුකිරීමට,මේ සිදු කිරීමට,1.5,2,0,1,2,severe
මේවා හාරන්නේ?,මෙය ම අහරන්නේ,1.5,2,0,1,2,severe
බ්‍රැන්ඩික්ස් කණ්ඩායම,බ්‍රැන්ඩ් එක්ස් කන්නායම,1.5,2,0,1,2,severe
දහයට එකොලහට විතර නැගිටින්න මොන මුස්පේන්තුකමක්ද පිංවතුනි,දහ යටිය ගොලහට විදල නැගිටින්නේ. මොන්න මුස් පේන්දු කුමක්ද පින්වතුනි,1.4286,7,0,3,7,severe
මගේ රවුටරේට අබසරණයඋනොත්,මගේ රවුටරයට අබ සරණය වුණොත්,1.3333,2,0,2,3,severe
අවසානයේදිවත් ඒ ඝාතකයව,අවසානයේ දීවත් ඒ ඝාතකයා ම,1.3333,2,0,2,3,severe
කටපුරා කිවහැකි නිෂ්පාදනයක්,කට පුරා කිව හැකි නිෂ්පාදනයක්,1.3333,2,0,2,3,severe
දැඩිකොට අල්ලාගෙන ජීවත්වෙයි.,දැඩි කොට අල්ලාගෙන ජීවත් වෙයි.,1.3333,2,0,2,3,severe
එය සත්‍යයද අසත්‍යද,එය සත්‍යය ද අසත්‍ය ද,1.3333,2,0,2,3,severe
පොලිසියට නියෝග කළේය.,පොලිස් ලට නියෝග කළේ ය,1.3333,2,0,2,3,severe
විනය ප්‍රඥප්ති අත්‍යවශ්‍යය.,ගිනේ ප්‍රඥා චත්‍යාවශ්‍ය ය,1.3333,3,0,1,3,severe
සුන්දරලිංගම් මහාලිංගම් කියලා.,සුන්දර ලිංගම් හා ලිංගම් කියලා,1.3333,2,0,2,3,severe
බුදුදහමට වැදගත් නොවේ.,බුදු දහමට වැදගත් නො වේ,1.3333,2,0,2,3,severe
ඇතිවන්නෙත් සුවිසල් තිගැස්මක්.,ඇති වන්නේත් සුවිසල් ටිගේස් මං,1.3333,2,0,2,3,severe
කකා හැමදාම අඳින්නෙ,කකා හැම දේ ම අඳින්න,1.3333,2,0,2,3,severe
පොහොය අටසිල් සමාදන්වීමක්,බොහෝ අටසින් සමාදන් වීමක්,1.3333,3,0,1,3,severe
තිලකසිරි ආරියසේන විදානපතිරණ,තිරකසිරි ආරිසේන විධාන පතිරණ,1.3333,3,0,1,3,severe
මාධ්‍යයට මනස්ගාත දොඩවන්නෝ,මාධ්‍යයට මනස් ගාථා දොඩ ගන්නවා,1.3333,2,0,2,3,severe
ඉලගපාර ඉවරම කරලා,ඊළඟ පාර ඉවර ම කරලා,1.3333,2,0,2,3,severe
අඟරුවාදට.අනික් දවස්වලට වෙලිලනං,අඟහරුවාදට අනික් දවස්වලට වේලිලා නං,1.3333,2,0,2,3,severe
දන්න අය නෙමේනේ.,දන් ණය නේ මේන්නේ.,1.3333,3,0,1,3,severe
ඒකි මොනතරම් අඬනවද?,ඒකෙ මොන තරම් අඩනවද,1.3333,3,0,1,3,severe
නිශ්ශබ්දතාවයෙහි උතුම් බවය.,නිශ්ශබ්ද තාවයෙහි උතුම් බව ය.,1.3333,2,0,2,3,severe
අනුකම්පාව භූමිකම්පාවක් වියහැක!,අනුකම්පා භුම්මිකම්පාවක් විය හැක,1.3333,3,0,1,3,severe
ඔබට ලබාදීම සදහා,ඔබට ලබා දී ම සඳහා,1.3333,2,0,2,3,severe
හුරුකර ගතයුතු වේ.,හුරු කර ගත යුතුවේ.,1.3333,3,0,1,3,severe
ආරක්‍ෂකයාටද ඇසෙන නොඇසෙන ගණනටය.,ආරක්ෂකයාට ද ඇසෙන නොවැසෙන ගණනට ය.,1.25,3,0,2,4,severe
මාර්ගෝපදේශකයෝ කාර්යාලයට වාර්තාකොට සිටිති,මාර්ග උපදේශකයෝ කාරයාලට වාර්තා කොට සිටිති,1.25,3,0,2,4,severe
මට්න් ඊට්න් ක්‍රෝට්න් කියලලු.,මටින් ඊටින් ක්‍රෝටින් කියල ලු,1.25,4,0,1,4,severe
"අනේපිඬු සිටුතුමා, විශාකා මහෝපාසිකාව,",අනේපිටුසිතුමා විශාල කා මහා පාසිකාව,1.25,4,0,1,4,severe
ප්‍රභාකරන්ට එයාගේ ගේත් අහිමිවෙලා.,තබා කරන්ට එයාගේත් අහිමි වෙලා,1.25,4,0,1,4,severe
ජන කතාවේ තොරතුරු සත්‍යයමද?,ජනකතාවේ තොරතුරු සත්‍යව ම ද,1.25,4,0,1,4,severe
මේ කාලයේදිම දියුණුවට පත්වු,මේ කාලයේ දී ම දියුණුවට පත් වූ,1.25,2,0,3,4,severe
එකපාරක් නුගේගොඩදි වලියකුත් ගියා,එක පාරක් නුගේ ගොඩ දී වලියකුත් ගියා,1.25,2,0,3,4,severe
මේ ආශ්‍රම භූමියතුලදී ඉවතලන්නේ,මේ ආශ්‍රම භූමිය තුළ දී ඉවත ලන්නේ.,1.25,2,0,3,4,severe
බුදුදහම හා මනෝවිද්‍යාව පිළිබඳ,බුදු දහම හා මනෝ විද්‍යාව පිළිබඳ ව,1.25,2,0,3,4,severe
මිහින්තලයද එසේම අඩි 350ක් උස,මිහින්තල දෙසේ ම අඩි තුන්සිය වනා කුස,1.2,4,0,2,5,severe
පරිගනක වෙළඳ දැන්වීම් පෙන්වන්න යොදාගන්නවා.,පරිගණකයෝ වෙළෙඳ දැන් මෙන් පෙන්වන්න යොදා ගන්නවා.,1.2,4,0,2,5,severe
මිහින්තලයද එසේම අඩි 350ක් උස,මිහින්තලය ද එසේ ම අඩි තුන්සිය පනහක් උස,1.2,3,0,3,5,severe
ඊතන්ගෙ කාරෙකෙන් ලොස් ඇන්ජලිස් යාම.,ඊතැන්ගේ කාර් එකෙන් ලොස් සංජිල ඉස්සා ම,1.2,4,0,2,5,severe
1854 නොවැම්බර් මස 27වන දිනදීය.,එදා සැරසිය පනස් අතර නොවැම්බර් මස 27 වන දිනදීය.,1.2,2,0,4,5,severe
"ගොනගොස් භාරදීම, බොදු පිළිවෙත යි.",ගොනොපස් භාර දී ම බොදු පිළිවෙතයි.,1.2,3,1,2,5,severe
මම අර විදිහට දෙහි කැපුවම,අමාර විදිහ යුතු ඒ ගැබුව ම,1.2,5,0,1,5,severe
ගොඩාක් ම භයානක කුරිරු අනුකම්පා විරහිත,ගොඩක් ම බාහැනක කෘති ව අනුකම්පාව වෙන හිත,1.1667,5,0,2,6,severe
හිරුණිකා පේ්‍රමචන්ද්‍ර මෙනවියට අදතරයේ අවවාද කළා ය,හිරුනිකා පේ්‍රම චන්ද්‍ර මැනවියට අද තරයේ අවවාද කළාය.,1.1429,5,1,2,7,severe
අද try කලත් තාම මෙච්චරයි බීලා තියෙන්නේ ඒ කියන්නේ 500ml වගේ තමයි බීලා තියෙන්නේ,තාම මේ මේ කියන්නෙ අද try කරල තාම මෙච්චර ඇවිල්ලා තියෙන්නෙ කියන්නෙ ෆයි වැඩටම එම් එල්ලගෙ try එක්ක බීලා තියෙන්නෙ,1.1429,10,0,6,14,severe
"ඒ අවුරුද්දේ තිබිච්ච පෙබරවාරි මාසයේ විසුරුවලා කැඳවල හිටන් මැතිවරණ තිබ්බ, එතකොට ප්‍රතිඵලය වෙනස් වුණා",ඒවා උපද්දි විච්ච පෙප්රාරි මාසේ විසුරුවල කැඳ වෙලා නෑ නම් මැතිවරණය තිබ්බේ එතකොට ඒ ත්‍රතිඵලය වෙනස් උනා,1.0714,12,0,3,14,severe
නම් මට හිතෙන්නෙ,මට නම් හිතෙන්නේ,1.0,1,1,1,3,major
ගස තේරීමෙදී,ගස තේරීමේ දී,1.0,1,0,1,2,major
ද්වාරයක් බඳුවිය.,ද්වාරයක් බඳු විය.,1.0,1,0,1,2,major
කොහොමදැයි මම නොදනිමි,කොහොම දැයි මම නොදැනෙමි.,1.0,2,0,1,3,major
සිදු වෙන් නැහැ,සිදුවෙන්නැහැ.,1.0,1,2,0,3,major
ඉතා කලාතුරකිනි,ඉතා කලා තුරකෙනි.,1.0,1,0,1,2,major
එසේනම් ධර්මාවබෝධය ලද්දෙකු ලෙස,එසේ නම් ධර්ම අවබෝධය ලද්දෙකු ලෙස,1.0,2,0,2,4,major
හිතෙනවා,හිතනවා.,1.0,1,0,0,1,major
අන්තිමෙදි බලනකොට,අන්තිමේ දී බලනකොට,1.0,1,0,1,2,major
ගුටිකාපු අය,ගුටි කාපු අය,1.0,1,0,1,2,major
එයාව බේරාගන්නවා.,එයාව බේරා ගන්නවා,1.0,1,0,1,2,major
නුවණින් නොදක්නා තෙක්,නොවනින්,1.0,1,2,0,3,major
එළියට දවාල ය කියා ද,එලියට දමාලය කියාද?,1.0,3,2,0,5,major
අටපිරිකරෙහි ඇති ප්‍රයෝජනයන්ය.,අටපිරිකෙරෙහි ඇති ප්‍රයෝජනයන් ය.,1.0,2,0,1,3,major
හරිනම් ඔයා නෙවි,හරි නම් ඔයා නෙවෙයි.,1.0,2,0,1,3,major
දේශනා කරන්නෙ නැහැනෙ.,දේශනා කරන්නේ නැහැ නේ,1.0,2,0,1,3,major
වැසි වළාකුළු වැන්න.,වැසිවළාකොළුවැන්න,1.0,1,2,0,3,major
ඔහුගෙ සෙක්ස් ඇපිටයිට් එක,ඔහුගේ සෙක්සෑ අපේ ටයිට් එක,1.0,3,0,1,4,major
පොත්පත් කියවීම.,පොත්පත් කිය වීම,1.0,1,0,1,2,major
ප්‍රමුඛත්වයෙහිලා සැලකිය හැකි ය.,ප්‍රමුඛත්වයෙහි ලා සැලකිය හැකිය.,1.0,2,1,1,4,major
මව්කුසින් නික්මෙන කොටම,මවකු සින් නික්මිණ කොටම,1.0,2,0,1,3,major
හාමුදුරුකෙනෙකුට සමාජයේ ලැබෙනා සිවිල් බලය,හාමුදුරු කෙනෙකුට සමාජයෙන් ලැබෙන අසීගෙල් බලය,1.0,4,0,1,5,major
පැවසී ම අතිශෝක්තියක් නො වේ,පැවසීම අතිශයෝක්තියක් නොවේ.,1.0,3,2,0,5,major
පව් රැස්වුනොත්,පව් රැස් වුනොත්,1.0,1,0,1,2,major
රහස් සම්බන්ධයක් හට ගනී.,ප්‍රාසම්බන්ධයක් හටගනී,1.0,2,2,0,4,major
අම්මලා හැරිලාත් බලනවා ද මන්දා. ඒ ඇයි අත්හැර ගන්න බැරිවීම.,අම්මලා හැරිලත් බලනවද මං දාලා. AI AI නේ අත්හාර ගන්න බැරි වීම,1.0,8,0,2,10,major
සනීපාරක්ෂන ගැටළු,සනිපාරක්ෂණ ගැටලු,1.0,2,0,0,2,major
විමධ්‍යගත බව,විමධ ගත බව,1.0,1,0,1,2,major
මෙලොව සිටියහුට,මෙලූ සිටියෝට,1.0,2,0,0,2,major
බස් සේවකයෝ,බස්සේ ඕකෙකු,1.0,2,0,0,2,major
ඒගොල්ලන්ගෙ පඩියෙන්,ඒ ගොල්ලන්ගේ පඩියෙන්,1.0,1,0,1,2,major
ස්වාස්ථ්‍ය විඥානයටත්,ස්වාස්තය විඤ්ඤාණයටත්,1.0,2,0,0,2,major
විශාල ඉල්ලූමක් ඇති වාජිකරණ ඖෂධයක්,විශාල ඉල්ලුමක් ඇති වාජී කරන අවශ්‍ය දෙයක්.,1.0,3,0,2,5,major
"යන දෙදෙනා එක්ව,",යන දේදෙනා එක් ව,1.0,2,0,1,3,major
ලංකාවෙත් පවත්වනවා,ලංකාවේත් පවත්වෙනවා.,1.0,2,0,0,2,major
මේකට නම් පට්ට තැන්ක්ස්,මේකටනම් කට්ට තෑන්ක්ස්,1.0,3,1,0,4,major
සැකසහිත බව,සැක සහිත බව,1.0,1,0,1,2,major
පට්ට වගේ.බලමුකො,පට්ට වගේ බලමුකෝ,1.0,1,0,1,2,major
ඔය ස්‌ථානයේ මගේත් මල්ලිගේත්,උය ස්ථානයේ මගෙත් මල්ලිගෙත්,1.0,4,0,0,4,major
හැමදෙනා ම,හැම දෙනා ම,1.0,1,0,1,2,major
මොනවහරි දෙයක් වුණොත්,මොනවා හරි දෙයක් වුනොත්,1.0,2,0,1,3,major
සුදු හුනු ගෑමට මා වෙහෙසෙන්නේ නැහැ,සුදුහුණු ගෑන්ට මාලියට එන්නේ නෑ.,1.0,5,1,0,6,major
එහි ආරම්භක අවස්ථාවට,විහායම්කාරස්ථාවට,1.0,1,2,0,3,major
DNA කියන්නෙ deoxyribonucleic අම්ලය. RNA කියන්නේ ribonucleic අම්ලය.,ටියෙන්නේ කියන්නේ ඩිඔක්සිය රයිබනියෝ කියලේ click අම්ලය RNA කියන්නේ රයිබනියෝ click අම්ලය,1.0,4,0,4,8,major
ගම්ඹීර වූ දහම,ගම්බිරෝ දාන,1.0,2,1,0,3,major
භික්‍ෂූන්වහන්සේ දැකීම්,භික්ෂූන් වහන්සේ දැකීම්,1.0,1,0,1,2,major
මුදල් උපයාගෙන දන්දුන්,මුදලු උපයාගෙන දන් දුන්,1.0,2,0,1,3,major
අවුරුදු තිහක් රටට බරපතළ ප්‍රශ්න ඇතිකළ,අවුරුදු තිහක රටක බයපතුට ප්‍රශ්නයක් ඇති කළ,1.0,5,0,1,6,major
එය එසේ නොවේනම්,එය එසේ නො වේ නම්,1.0,1,0,2,3,major
ගොඩ නැංවුණු සභාවක්,ගොඩනැංවුණු සභාවා,1.0,2,1,0,3,major
අඩුගානෙ මේකිගේ ළමයින්ට සිංහල කතාකරන්නවත් බෑ,අඩු ගාණේ මේකෙගෙ ළමයිට සිංහල කතා කරන්නවත් බෑ,1.0,4,0,2,6,major
ආයුබෝවන්,ආයුබෝවත්,1.0,1,0,0,1,major
ලියාගන්නව ලු,ලියා ගන්නවා ලු,1.0,1,0,1,2,major
මුඩුක්කුවක ඉපිද,මුඩු කුවක ඉපිද,1.0,1,0,1,2,major
එහේ මේවා ගැනෙන්නේ,එහෙ මේව ගැනෙන්නෙ,1.0,3,0,0,3,major
ජීවිත කාලෙම තියනවා.,ජීවිත කාලෙ ම තියෙනවා.,1.0,2,0,1,3,major
එල්.ටී.ටී.ඊ.යේ වළිග කොට,එල්.ටී.ටී.ඊ. යේ වලිග කොට,1.0,2,0,1,3,major
අඩුකරලා දාන්න පුළුවන්කම ඇතිවෙනවා.,අඩු කොල්ලා දාන්න පුළුවන්කම ඇති වෙනවා,1.0,2,0,2,4,major
කොයිතරම් වැදගත්ද?,කොයි තරම් වැදගත්ද?,1.0,1,0,1,2,major
ජනාධිපති පැවසුවේය.,ජනාධිපති පැවසුවේ ය,1.0,1,0,1,2,major
පළමුවන ස්ථානයට පත්වීමයි.,පළමුණු ස්ථානයේ ප්‍රත්තිමයි.,1.0,3,0,0,3,major
මාධ්‍යවේදියෙක් පැවසුවේය.,මාධ්‍යවේදියෙක් පැවසුවේ ය,1.0,1,0,1,2,major
සිත තුළ ගොඩනැඟෙන,සිදු තුළ ගොඩ නැඟෙන,1.0,2,0,1,3,major
ඈතදීම අපි දැක්කා,ඈත දී ම අපි දැක්කා.,1.0,1,0,2,3,major
දෙසැම්බර් මසවි,දෙසැම්බර් මාස වී,1.0,1,0,1,2,major
මුදලට ලොල්වෙලා,මුදලට ලොල් වෙලා,1.0,1,0,1,2,major
අපි තවදුරටත්,අපි තව දුරටත්,1.0,1,0,1,2,major
බුදුන් වඳිනකොට,බුදුන් වඳින කොට,1.0,1,0,1,2,major
මුළුතැන්ගේ දෙසින්,මුල් තැන්ගේ දෙසින්,1.0,1,0,1,2,major
එහෙම ඉගෙනගෙන,එහෙම ඉගෙන ගෙන,1.0,1,0,1,2,major
බුදුදහමට වඩා,බුදු දහමට වඩා,1.0,1,0,1,2,major
තොරවූයේ නැත.,තොර වූයේ නැත.,1.0,1,0,1,2,major
එපා වෙන් නැද්ද අප්පා,එපාවෙන් ඇද්දක්වා,1.0,2,2,0,4,major
උපාසක බළල්ලු තමයිනෙ,උපාසක බලල්ලු තමයි නේ,1.0,2,0,1,3,major
ගුවන් හමුදා නිලධාරියකු වන්නටය.,රුවන් හමුදානුදරියකු වනට ය.,1.0,4,0,0,4,major
අදි මදි කලේය.,අදිම් අදි කළේ ය,1.0,2,0,1,3,major
ඔබ ද ත්‍රිපිටකයේ,අබුද්ධ තිබිටු ගේන්,1.0,3,0,0,3,major
පිටකොටුවට ගියත්,පිට කොටුවට ගියත්,1.0,1,0,1,2,major
ඔබාමා හුසේන්ගේ ඉඳුල්ද?,ඔබ මහවසයෙන්ගේ ඉඳුරුද?,1.0,3,0,0,3,major
ඒත් ඒගොල්ලන්ට ලැබුණෙ,ඒත් ඒ ගොල්ලන්ට ලැබුණේ,1.0,2,0,1,3,major
හෙලේනා විජයවර්ධන මැතිණියයි.,හෙලේනා විජය වර්ධන මැතිනියයි.,1.0,2,0,1,3,major
සටන් කරුවකුත්,තටන්කරුවකුත්,1.0,1,1,0,2,major
ස්තූතියිලස්සන සටහනක්,ස්තුතියි ලස්සන සටහනක්,1.0,1,0,1,2,major
ඊයේඅමාත්‍යාංශ ශ්‍රවණාගාරයේ දී,ඊයේ අමාත්‍යංශ වනාගාරයේ දී,1.0,2,0,1,3,major
චෝදනාවලට සමානය.,චෝදනාවලට සමාන ය,1.0,1,0,1,2,major
සාධාරණය ඉෂ්ටවේ,සාධාරණය ඉෂ්ට වේ.,1.0,1,0,1,2,major
එවිට සුමේධා කුමරිය,එවිට සුභිය ද උමනින්,1.0,2,0,1,3,major
පුක්කුසයෙනි එක් සමයක,පුක්කුසේනි එක්සාමයක,1.0,2,1,0,3,major
නිපැයුමක් සොයාගන්නවා.,නිපැයුමක් සොයා ගන්නවා,1.0,1,0,1,2,major
උන්නැහේ හිතන්නේ,උන්න හේ හිතන්නේ,1.0,1,0,1,2,major
මේදේවල් තිබුනොත්,මේ දේවල් තිබුනොත්,1.0,1,0,1,2,major
භේදය නැති වේ.,භේදයක් නැතිවේ.,1.0,2,1,0,3,major
අද කාලේ ඔයවගේ,අද කාලෙ ඔය වගේ,1.0,2,0,1,3,major
"ශාරිරික, උද්දේශික, පාරිභෝගික යන",ශාරීරික උදේශික පාරිභෝගිකයන,1.0,3,1,0,4,major
මිනීමරණ එක,මිනී මරණ එක,1.0,1,0,1,2,major
එයාගෙන් වෙන්වෙලා යන එක උහුලගන්න බැරිලූ.,එයාගෙන් වෙන් වෙලා යන එක උහුල ගන්න බැරි ලු,1.0,3,0,3,6,major
මළවුන් උදෙසා,මළවුණු දෙසා,1.0,2,0,0,2,major
එහෙව් කෙලෙහිගුණ නැතිඑවුන් තමයි,එහෙව් කළේ ගුණ නැති උන් තමයි,1.0,2,0,2,4,major
එක්කහු වෙලා,එක් අහු වෙලා,1.0,1,0,1,2,major
සැරයි ලු ලු ලු,සැරැල්ලූ ලූ,1.0,2,2,0,4,major
ගල්මල් උයන්,ගල් මල් උයන්.,1.0,1,0,1,2,major
එක්තැන් කිරීමට,එක් තැන් කිරීමට,1.0,1,0,1,2,major
"එනම් කාමච්ඡන්ද,ව්‍යාපාද, ථීන මිද්ධ,",එනම් කාමච්ඡන්ද ව්‍යාපාද තීන මිත්ත,1.0,3,0,1,4,major
හැමදෙනා ම,හැම දෙනා ම,1.0,1,0,1,2,major
ඉතිං?,ඉතින්,1.0,1,0,0,1,major
මව්පියන්ගේ ආශිර්වාදයෙනි.,මවුපියන්ගේ ආශීර්වාදයෙනි.,1.0,2,0,0,2,major
හිතාගන්න බෑ,හිතා ගන්න බෑ.,1.0,1,0,1,2,major
අද වෙද්දී ඉතිරිවෙලා තියෙන්නේ.,අද වැදි ඉදිරි වෙලා තියෙන්නෙ,1.0,3,0,1,4,major
ඒ අනුව,ඒඅනුව,1.0,1,1,0,2,major
එක් අඳුරු කාලපරිච්ඡේදයකදී,එක් අඳුරු කාල පරිච්ඡේදයක දී,1.0,1,0,2,3,major
රතු බණ්ඩා කියලා මනුස්සයෙක්.,රතුබණ්ඩා කියන මනසේත්,1.0,3,1,0,4,major
එහි ප්‍රතිඵලය,ඉබ්රත කළ,1.0,2,0,0,2,major
හොදම ක්‍රමය.,හොඳ ම ක්‍රමය,1.0,1,0,1,2,major
ගමයි සොහොන්පලයි,ගමයි සොහොන් පලයි,1.0,1,0,1,2,major
අපෙන් මේවගේ දේවල් ඈත්වෙලා,අපෙන් මේ වගේ දේවල් ඈත් වෙලා,1.0,2,0,2,4,major
බිරිඳක් ස්වාමිපුරුෂයාට,බිරිඳක් ස්වාමි පුරුෂයාට,1.0,1,0,1,2,major
ක්රිස්තුස්වහන්සේගේ දෙවෙනි පෑමිනීමයි,පිස්සුත් වහන්සේගේ දෙවෙනි පැමිණීමයි.,1.0,2,0,1,3,major
ඉන්නවානම් මෙන්න තියෙනවා,ඉන්නවා නම් එන්න තියෙනවා,1.0,2,0,1,3,major
කුලප්පු කරන්නනෙ යන්නෙ.,කුලප්පු කරන්න නේ යන්නේ.,1.0,2,0,1,3,major
උඹළ බඩගාගෙන රිංගන්න කලින්,උඹල බඩ ගාගෙන රින්ගන්න කලින්,1.0,3,0,1,4,major
බිතුසිතුවම් ඇඳීම සඳහා,බිතු සිතුවම් හැඳීම සඳහා,1.0,2,0,1,3,major
අපතේ යාමට,අප දේ යාමට,1.0,1,0,1,2,major
නලින්ද සිල්වා ඇදුරු තුමා මේ,නලින් ද සිල්වා ඇදුරුතුමා මෙයේ,1.0,3,1,1,5,major
පිරිත් දේශනාවේදි,පිරිත් දේශනාවේ දී,1.0,1,0,1,2,major
කල්තබා ගන්නා ලදී,කල් තබා ගන්නා ලදි,1.0,2,0,1,3,major
"එමතුදු නොව,","එම තුදු නොව,",1.0,1,0,1,2,major
1854 නොවැම්බර් මස 27වන දිනදීය.,1857 නොවැම්බර් මස 27 වන දිනදී ය.,1.0,3,0,2,5,major
මහාතිස්ස හිමියන්ටය.,මහාතිස්ස හිමියන්ට ය.,1.0,1,0,1,2,major
ඒ අරහං බුදුගුණයේ මූල බීජ,එය හරහා බුදු ගුණයේ මූල බීජය,1.0,4,0,1,5,major
අම්ම මිය යනව.,අම්මා මේ යනවා,1.0,3,0,0,3,major
මෙය සිදුකිරීමට,මෙය සිදු කිරීමට,1.0,1,0,1,2,major
තිදෙනා මර විළාප නඟද්දී,තෙදින අමාර විලාප නගත්තේ,1.0,4,0,0,4,major
එම හේතුවෙනුයි,එම හේතු වෙනුයි,1.0,1,0,1,2,major
මේ වනවිට,මේ වන විට,1.0,1,0,1,2,major
විෂ ධූම ගිනි ජාලා පිටකළහ.,විෂදුම ගිනිජාලා පිට කළහ.,1.0,4,1,0,5,major
පලකල හෑක්කෙ එවිට ය,පළ කළ හෑක්කේ එවිටය.,1.0,4,0,0,4,major
ප්‍රජාතන්ත්‍රවාදී පාලනයක් උදෙසා,එචර්චන්ද්‍රවාදී පාලනයක දෙස,1.0,3,0,0,3,major
නැවතත් සුභපැතුම් ඔබ දෙපලට.,නැවතත් සුබ පැතුම් උප දෙපළට,1.0,3,0,1,4,major
ගෙවීමත් අඩුවෙයි.,ගෙවීමත් අඩු වෙයි.,1.0,1,0,1,2,major
පිණ්ඩපාත චාරිත්‍රයට,පිණ්ඩපාති චාරිතයට,1.0,2,0,0,2,major
මම තනිවෙලා නැතිබව.,මම තනිවෙලා නැති වූ බව,1.0,1,0,2,3,major
තනතුරු ලබාගැනීමේ,තනතුරු ලබා ගැනීමේ,1.0,1,0,1,2,major
අප විදුලියෙන් වැඩගනී,අප විදුලියන් වැඩ කනි,1.0,2,0,1,3,major
නඩේ ගුරාටත්හරි සතුටුයි.,මදි පුරාටත් හරි සතුටුයි.,1.0,2,0,1,3,major
නිදිමත වෙච්චි නිසා.,නිදි මත වෙච්ච නිසා,1.0,2,0,1,3,major
මන්දබුද්ධික ව උපදී.,මන්ද බුද්ධික ව උපදියි.,1.0,2,0,1,3,major
සුරතලී බලන්න බැරිවුනා.,සොරතුලියි බලන්න බැරි වුණා,1.0,2,0,1,3,major
මඳ දිනෙකින්,මඳ ව දිනකින්,1.0,1,0,1,2,major
විපක්ෂ නායකවරයා කීවේය.,විපක්ෂ නායකවරයාත් කීවේ ය,1.0,2,0,1,3,major
හිඳ ගත්තා.,හිඳගත්තා.,1.0,1,1,0,2,major
අර්ඝණය කෙරිණ,අනර්ඝ කෙරිණේ,1.0,2,0,0,2,major
විදර්ශනාවට නැඹුරුවෙලා,විදර්ශනාවට නැඹුරු වෙලා.,1.0,1,0,1,2,major
