reference,prediction
භික්‍ෂුන් වහන්සේ නායකත්වය දෙන්නාහ,භික්‍ෂූන් වහන්සේ නායකත්වය දෙන්නාහ
ධන සම්පත් ලැබේ.,ධන සම්පත් ලැබේ.
එයට මූලික කොටම හේතුපාදක වන්නේ,එයට මූලික කොටම හේතුපාදක වන්නේ
මේ ජේම්ස් මහත්තයාගේ පුතා,මේ ජේම්ස් මහත්තයාගේ පුතා
ඉතින් මං හිතනවා,ඉතින් මන් හිතනවා
අයිස් සහිත පරිසරයක් නිර්මාණය කරන ආකාරය,අයිස් සහිත පරිසරයක් නිර්මාණය කරන ආකාරය
අවසාන මොහොතේ තමා මාළිගයෙන් පිටවෙන මොහොතේද,අවසාන මොහොතේ තමා මාලිගයෙන් පිට වන මොහොතේ ද
නිසා කියවල නැහැ,නිසා කියවලා නැහැ
මේ මව සහ දියණිය ගත කරන ජිවිතය,මේ මව සහ දියණියක් ගත කරන ජීවිතය
මේ ෆිල්ම් එක නැරඹීමෙන් පසුව,මේ ෆිල්ම් එක නැරඹීමෙන් පසු ව
දකුණු අත්ල ඉදිරියට දක්වා ඇති බවක් පෙනේ.,දකුණු අත්ල ඉදිරියට දක්වා ඇති බවක් පෙනේ
එය සත්‍යයද අසත්‍යද,එය සත්‍යය ද අසත්‍ය ද
කාරනය වැදගත් නැහැ.,කාරණය වැදගත් නැහැ.
එකේත්ටික ගලවල දොර විතරක් තිය ගමු කියලද?,එකෙත් ටික ගලවල දොර විතරක් තියාගමු කියලද?
ඔයා ඔය කියන ඕගොල්ලෝ මත,ඔයා ඔය කියන ඕගොල්ලෝ මත
අනෙක් කරුණ නම් ඇය කල වරද,අනෙක් කරුණ නම් ඇය කළ වරද
ආගම ගැන හිතන්න,ආගම ගැන හිතන්න
පොලිසිය පවසයි,පොලීසිය පවසයි
පංචාවාස ඒකකයේ මැද,පංචාවාස ඒකකයේ මැද
අනික මේ බුදුන් දේශනා කළා කියල,අනික මේ බුදුන් දේශනා කළා කියලා
දන්න අය නෙමේනේ.,දන් ණය නේ මේන්නේ.
පිළිගැනීමට හෝ,පිළිගැරීමට හෝ
බොහෝ කලක් නිදුක් නීරෝගීව,බොහෝ කලක් නිදුක් නිරෝගී ව
ඒවාගේම එම චරිතවල හැසිරිම,ඒ වාගේම එම චරිතවල හැසිරීම
"මේවා මනෝභාවයන් ලෙස ද, චිත්ත ආවේගයන් ලෙස ද හඳුන්වයි.","මේවා මනෝ ඔභාවයන් ලෙස ද, චින්තන ආවයි ගියන් ලෙස ද හඳුන්වයි."
කළුවර ලී කණු වල අලංකාරය සඳහා කැටයම් කොටා තිබේ.,කළුවර ලී කණුවල අලංකාරය සඳහා කැටයම් කොටා තිබේ.
බලමු!,බලමු.
"ක්‍රියාත්මක වෙන ක්‍රමවේදයක්"" ඇය පවසන්නීය.",ක්‍රියාත්මක වෙන ක්‍රමවේදයක් ඇය පවසන්නීය.
හාල් පිටි වැදුනහම මේ විදිහට පිටි ටික විසිරෙනවා නම් හාල් පිටි හොදට බැඳිල තියෙන්නේ,පාල් පිටි වැදුනහම මේ විදිහට පිටි ටික විසිරෙනවා නම් පාල් පිටි හැකට බැදිලා තියෙන්නේ
අද පලවෙනි සීන් එකෙ මමයි අලි තමයි ඉන්නේ අපේ ගෙදර ලොකේෂන් එකට යන මඟ පාරෙම අයිනෙ නවත්වල තමයි මේ සින් එක කරන්නේ,අද පළවෙනි scene එකේ මමයි අලි තමයි ඉන්නෙ අපේ ගෙදර location එකට යනවග පාරෙම අයිනෙ නවත්තලා තමයි අපි මේ scene එක කරන්නේ
සිදු වූ හානිය. විශේෂෙන්ම වර්ග කිලෝමීටර එක්ලක්ෂ අසූ හය දාහක විතර භූමියක්,සිදු වූ හානිය. විශේෂයෙන්ම වර්ග කිලෝමීටර් 18.000 ක විතර භූමියක්
ත්‍රිකුණාමලය නාවුක කඳවුරේ බ්‍රිතාන්‍ය රාජකීය නාවික හමුදාවට,ත්‍රී කුණාමලය නාවක කඳුරේ බ්‍රිතාන්‍ය රාජ්‍ය ඊයේ නාවක හමුදාවට
මනා ආදර්ශයක් සපයමින් මේ ගොඩනැගිල්ල ප්‍රතාපවත් අදත් පවතිනවා. වර්තමානයේ මේ ගොඩනැඟිල්ල,මනා ආදර්ශයක් සපමින් මේ ගොඩනැගිල්ල ප්‍රථා පවත්වා අදත් පවතිනවා වර්තමානයෙන් මේ ගොඩනැගිල්ල
anyways මං ඒ set එකෙන් එන්න කලින් makeup එක wash කරගත්තා. මොකද අද දවස මම වැඩ ගොඩකට යන්නෙ. ඉතින්, Anyways මං ඒ set එකෙන් එන්න කලින් makeup එක wash කරගත්තා මොකද අද දවසම වැඩ ගොඩකට යන්නේ ඉතින්
මැදපෙරදිග ඊශ්‍රායලයෙන් මේක අද වෙනකන් මැදපෙරදිග ඉතා උණුසුම් මාතෘකාවක් බවට පත්වෙලා තියෙනවා ආරම්භය දෙවෙනි ලෝක යුද්දෙන්,මැද පෙරදිග ඊශ්‍රායලන් මේක අද වෙනකන් මැද පෙරදිග ඉතා මුණුසුම් මාතෘකාවක් බවට පත්වෙලා තියෙනවා ආරම්භය දෙවැනි ලෝක යුද්ධයෙන්
ඔයා කොච්චර revisions වලට charge කරන්න මොන දේ දාලා තිබ්බත් ඔයාට revision එකයි එහෙම නැත්නම් දෙකයි නැත්නම් revisions නෑ කියලා දාලා තිබ්බත්,ඔයා කොච්චර revisions වලට charge කරන්න මොන දේ දාල තිබ්බත් ඔයාට revotion එකයි එහෙම නැත්තම් දෙකයි නැත්තං revisions නෑ කියලා දාල තිබ්බත්
ඊට පස්සේ නැවත ආපදාවක් එන්න පෙර අපි මේකට සූදානම් වෙන්න වෙනවා. පෙර සූදානම්.,ඊට පස්සේ නැවත ආපදාවක් එන්න පෙර අපි මේකට සූදානම් වෙන්න වෙනවා පෙර සූදානම්.
දැන් ලුණුයි හා ගොරකා paste එකයි එකතු කර ගත්තම ගම්මිරිස් දාලා,මැලුනුයි ගොර කපේස් ටිකයි එකතු කරගත්තම ගම්මිරිස් දාලා
ඔහුට හම්බ වෙන අසයින්මන්ට් එක තමයි පොඩි පක්ෂයක් තියෙනවා ජර්මන් workers party කියලා,ඔහුට හම්බවෙන අසයිමන්ට් එක තමයි පොඩි පක්ෂයක් තියෙනවා ජර්මන් workers party කියලා
ඉන්න ජනාධිපතිවරයා මියගියාට පස්සේ ජනාධිපති වරයාගේ බලයත් චාන්සලර්වරයා ගේ බලයත්,ඉන්න ජනාධිපතිවරයා මියගියාට පස්සේ ජනාධිපතිවරයාගේ බලයත් චාන්සලර් වරයාගේ බලයත්
නුඹට කරදරයක් නැත්නම් මම අහන දේකට උත්තර දෙන්ට පුලුවන්ද,නුඹට කරදරයක් නැත්නම් මම අහන දේකට උත්තර දෙන්ට පුළුවන්ද?
දවසට තුන් හතර පාරක් වැසිකිලිය යනවා වෙන්න පුලුවන් වෙනදට ඝන විදිහට වැසිකිලි ගියපු කෙනෙක් වතුර වගේ වැසිකිලි යනවා වෙන්න පුළුවන් ඒ වගේ වෙනස්කම් එන්න පුළුවන්,දවසට තුන් හතර පාරක් වැසිකිලි යනවා වෙන්න පුළුවන් වෙනදාට ගණ විදියට වැසිකිලි ගියපු කෙනෙක් වතුර වගේ වැසිකිලි යනවා වෙන්න පුළුවන් ඒ වග
විශෙෂයෙන් ම මහනුවර ජාතික රෝහලේ යම් පරීක්ෂණයක් කරල තියනවා ඊට පස්සේ IDH රෝහලේ,විශේෂෙන්ම මහනුවර ජාතික රෝහලේ යම් පරීක්ෂණයක් කරලා තියෙනවා. ඊට පස්සේ මේ ideas රෝහලේ
එහෙනම් මොකක්ද ඇත්තටම මේ තියෙන්නෙ මේ ගණන් එයාල හදන්නෙ දැනට ඒ ඒ ප්‍රදේශ වල starlink use කරන අය පාවිච්චි කරන packages අනුව,එහෙනම් මොකක්ද අත්තට මේ තියෙන්නේ මේ ගණන් එයාල හදන්නේ දැනට ඒ ඒ ප්‍රදේශවල starlink use කරන අය පාවිච්චි කරන packages අනුව
ඊලගට ඔයාගේ site එකේ URL එක මෙන්න මේ උඩ search කරනවා වගේ තැනට දාලා enter button එක වැරෙන් ඔබන්ඩ,ඊළඟට ඔයාගේ site එකේ URL එක මෙන්න මේ උඩ search කරනවා වගේ තැනට දාලා එන්ට button එක වැරෙන්නෝ බන්ඩ
"ලංකා බැංකුව, ලෝක වෙළඳ මධ්‍යස්ථානය, තවත් පසෙකින් මහ බැංකුව, තවත් පසෙකින්",ලංකා බැංකුව ලෝක වෙළෙඳ මධ්‍යස්ථානය තවත් පසෙකින් මහ බැංකුව තවත් පසෙකින්
මම ඇඳත් ෂේප් එකේ අස් කරලා දැන් මගේ අර හදාගත්ත තේ එකත් බීලා,මම ඇදත් ශේප් එකේ අස්කරලා දැම්මගේ අර හදාගත්තේ තේක් බීලා
ඊට කලින්ම shock වෙච්ච තැන් කීපයක් තියෙනවා but මං ටික ටික ඉතිහාසයට යන්නම්,ඊට කලිනු shock වෙච්ච තැන් කීපයක් තියෙනවා. මං ටිකට ඉතිහාසයට යන්නම්
ඔයාට බලලතැකි මොනවද වෙන්නේ මේ දවස්වල මොකද වෙන්නේ අලුතෙන් ආපු research papers මොනාද එක එක industries වල තත්ත්වය වෙනස් නේ,ඔයාට බලතැහි මොනවද වෙන්නේ මේ දවස් වල මොකද වෙන්නේ අලුතෙන් ආපු research paper මොනවද එකෙක් industries වල තියෙන තත්ත්වය වෙනස්නේ
එයා අපි වගේ හිතලා දේකට උත්තර දෙනවා කියන එක නෙවෙයි,එයා අපි වගේ හිතලා දෙයකට උත්තර දෙනවා කියන එක නෙවෙයි
ඔන්න දැන් ඔයාගේ site එකේ නම දෙන්න ඕන. මං මේකට free text gen කියලා නමක් දෙනවා,ඔන්න දැන් ඔයාගේ site එකේ නම දෙන්න ඕන. මං මේකට free text gen කියලා උන්නාහේ නමක් දෙනවා
මේක වැදගත් සෞඛ්‍ය ප්‍රධාන සෞඛ්‍ය ගැටලුවක් වෙයි කියලා,මේක වැදගත් සෞඛ්‍ය ගැටලුවක් වෙයි කියලා
මේකෙ පින්වතුනි එහෙම වෛරක්කාරකම් පිරිමහන්න ඉඩක් නෑ ඇස්පිල්ලම් ගහන එක තත්පරෙන් මේ සියල්ල වෙනස් වෙන්න පුලුවන්.,මේකෙ පින්වතුනි එහෙම වෛරක්කාරකම් පිරිමහන්ට ඉදන් නෑ. ඇස් පිල්ලන් ගහන එක තප්පරෙන් මේ සියල්ල වෙනස් වෙන්ඩ
වෙනකොට ගත්තහම පහුවදා උදේ හය හත වෙනකොට ඔයාට automatically පැය 12ක් විතර නිරාහාරත්වයක් හම්බෙලා,වෙනකොට ගත්තහම පහුව දා උදේ හතර වෙනකොට ඔයාට ඔටෝමැටි කියලා බැහැ 12ක් විතර නිරාහාරත්වයක් හම්බෙලා
automate කරයි replace කරයි මිනිස්සු ඕන්නෑ ඒවා කරන්න අපි බලන්න ඕන ඊට වඩා,automate කරයි replace කරයි දැන් මිනිස්සුවොට් නෑව කරන්න අපි බලන්න ඕනේ ඊටලා
ඩොනමෝර් ආණ්ඩුක්‍රම ප්‍රතිසංස්කරණය හරහා දේශපාලන ක්‍රියාකාරිත්වය වැඩි වෙලා ඒ වගේම වාමාංශික ව්‍යාපාර හරහා,ඩොනමෝර් ආණ්ඩුක්‍රම ප්‍රතිසංස්කරණය හරහා දේශපාලනික ක්‍රියාකාරීත්වය වැඩිවෙලා ඒ වගේම වාමාංශික ව්‍යාපාර හරහා
මම හිතන්නේ ඔබතුමා ඉතාම වැදගත් හරයාත්මක ප්‍රශ්නයක් අහන්නේ,මම හිතන්නේ ඔබතුමා ඉතාම වැදගත් හරයාත්මක ප්‍රශ්නයක් අහන්නේ
මේ categoris දෙකට එන subjects ටික මම discription එකේ දාලා තියන්නම් නැත්නං ඔයාලට වීඩියෝ එක බැලුවා කියලා මතක හිටින්නේ නැහැනෙ,මේ categories දෙකට එන subjects ටික මම ඩිස්ක්‍රිප්ෂන් එකේ දාලා තියන්නම් නැත්තම් ඔයාලුවෝ video එක බැලුවෝ කියලා මතක හිටින්නේ නැහැනේ
නමුත් ආර්ථික ස්වභාව වත්කමක් නැති දරුවන්ට ශිෂ්‍යාධාරක් දීලා ඒ අයගේ ඉස්සරහට අධ්‍යාපනය අඛණ්ඩව ගෙන යන්න ඊට පස්සේ මේක,නමුත් ආර්ථික වත්කමක් නැති දරුවන්ට ශිෂ්‍යාධාරයක් දීලා ඒ අයගේ ඉස්සරහට අධ්‍යාපනය අඛණ්ඩවගෙන් යන්ටුව ඊටපස්සේ මේක
අන්න ඒ වැඩේම තමයි neural network එකක hidden layer එක ඇතුලෙත් කෙරෙන්නේ,අන්න ඒ වැඩේම තමයි neural network එකක හෙඩිල් ඒක අතුලෙත් කෙරෙන්නේ
මං ඔයාට තවත් ගේම් එකක් පෙන්නන්නම්. මෙන්න මෙතන තියෙනවා ඩොලර් 2.26 ක ප්‍රමාණයක income එකක් generate කරගන්න පුළුවන්,ඉතින් මම ඔයාට තවත් ගේම් එකක් පෙන්නන්නම් මෙන්න මෙතන තියෙනවා ඩොලර් දෙකයි දශම දෙකයි හයක ප්‍රමාණයක් ඉන් කාමයක් generate කරගන්න පුළුවන්
"බටහිර රටවලට ගිහිල්ලා, අධ්‍යාපනය ලබලා, ලංකාවට ඇවිල්ලා, බටහිර රටවලදී ලබපු දේශපාලන අත්දැකීම් තුළින්",බටහිර රටවලට ගිහිල්ලා අධ්‍යාපනය ලබලා ලංකාවට ඇවිල්ලා බටහිර රටවල දී ලපපු දේශපාලන අත්දැකීම් තුළින්
නිදහසක් ලබා දෙන බව ප්‍රකාශ කරනවා. ඒ අනුව,නිදහසක් ලබා දෙන බව ප්‍රකාශ කරනවා. ඒ අනුව
ඇමයිනෝ අම්ල බහුඅවයවීකරණය වීමෙන් පිළියෙල වන මහ අණු වර්ගයක්,ඇමයිනෝ අම්ලානු බහු අවයවීකරණයෙන් පිළියෙළ වන මහානුවර්ගයක්
ඔයාලගේ preference එකට අනුව ඔයාල කැමතිම යුනිවර්සිටි එක කැමතිම කෝස් එක,ඔයාලගෙ preference එකට අනුව ඔයාල කැමතිම යියූනියෝජියෙක් ඒක කැමතිම course එක
ඇමයිනෝ අම්ල වර්ගයෙන් වර්ගයට R වෙනස් වෙන්න පුළුවන් උදාහරණ වශයෙන් ගත්තොත් R සමානයි H උනොත් hydrogen දැම්මොත් මෙතන්ට,එන්න ඇමයිනෝ අම්ල වර්ගයෙන් වර්ගයට අර වෙනස් වෙන්න පුළුවන් අපි උදාහරවශයෙන් ගත්තොත් ආර් සමානයි ඒ චුනොත් hydrogen දැම්මොත් මෙතනට
මුලින්ම අපි කතා කරමු seerock search කියන්නෙ මොකද්ද කියලා ඊට පස්සේ අපිට පුළුවන් ඒකට උත්තරයක් විදියට එන answer engine optimization ගැන කතා කරන්න හරි,මුලින්ම අපි කතා කරමු zero click search කියන්නේ මොකක්ද කියලා ඊට පස්සේ අපිට පුළුවන් ඒකට උත්තරයක් විදියට එන answer engine optimization ගැන කතා කරන්න හරි
අද try කලත් තාම මෙච්චරයි බීලා තියෙන්නේ ඒ කියන්නේ 500ml වගේ තමයි බීලා තියෙන්නේ,තාම මේ මේ කියන්නෙ අද try කරල තාම මෙච්චර ඇවිල්ලා තියෙන්නෙ කියන්නෙ ෆයි වැඩටම එම් එල්ලගෙ try එක්ක බීලා තියෙන්නෙ
දහම් මේ වෙලාවේ ඔබත් එක්ක සමකාලීනව දේශපාලනය කරපු ගොඩක් අය ගෙදර නතර වෙලා,මේ වෙලාවේ ඔබත් එක්ක සමකාලීන දේශපාලනය කරපු ගොඩක් අය ගෙදරන අතර
රග්බි ලෝක කුසලානය නවසීලන්තය හා දකුණු අප්‍රිකාව තුන්වතාව බැගින් ජයග්‍රහණය කර ඇති අතර එම ලෝක කුසලානය වැඩිම වරක් දිනාගෙන ඇත්තේ එම රටවල් දෙකයි,රක්වී ලෝක කුසලානය නවශීලන්තය හා දකුණු අප්‍රිකාව තුන්වතාව බැගින් ජයග්‍රහණය කර ඇති අති එම ලෝක කුසලානය වැඩිම වරක් දිනාගෙන ඇත්තේ එම රටවල්
පෘථිවි පාලක මැදිරියෙන් යානා වට යවන්නේ මෙන්න මෙ deep space network එක හරහා,පෘථිවි පාලක මැදිරියෙන් යානාවට යවන්නේ මෙන්න මේ deep space network එක හරහා
එහෙනම් මම අදට ගිහින් එන්නම්. අපි ආයේ දවසක හමුවෙමු,එහෙනම් මං අදට ගිහින් එන්නම්. අපි ආයෙමත් දවසක හම්බෙමු
ඔයාලා එ කැමති විදියට තමයි දාලා තියෙන්න ඕන මොකද අපිට කියන්න බැහැ ඇත්තටම අපි,ඔයාලා එක් හැමැති විදිහට තමයි දාලා තියෙන්න ඕන. මොකද අපිට කියන්න බැහැ ඇත්තටම අපි
ඔයා එක කලින් දුන්නොත් client ගෙ end project එකට ගොඩාක් easy ඔයා මේක කලින් දුන්නට පස්සේ example එකකට client ට ඔයා logo එකක් ඩිසයින්,ඔයා ඒක කලින් දුන්නොත් client ගෙ end project එකට ගොඩක් එහිල්ලි ඔයා මේක කලින් දුන්නට පස්සේ example එකකට client ට ඔයා logo එකක් design
ආණ්ඩුක්‍රම ප්‍රතිසංස්කරණ හරහා ගෙන ගියපු සියලු දෑ මේ නිදහස ලැබීමේ පසුබිමේ කතාව වටා එකට එකතු වෙලා තියෙනවා. නමුත් අද දවසේ,ආණ්ඩු ක්‍රම ප්‍රතිසංස්කරණ හරහා ගෙන ගියපු සියලු දෑ මේ නිදහස ලැබීමේ පසුබිමේ කතාව වටාගේ එකටු එකටු වෙලා තියෙනවා නමුත් අද දවසේ
ඉතිං තවත් වීඩියො එකකින් හම්බෙමු ඔයාලට ඕන මොනව හරි තියනවනම් කමෙන්ට් section එකේ දාලා තියන්න මං අනිවාර්යෙන් බලන්නං,ඉතින් තවත් video එකෙන් හම්බෙමු ඔයාලට ඕන මොන හරි තියෙනවා නම් comment section එකේ දාල තියන්න මම අනිවාර්යෙන් බලන්නම්
"කෝම්පිට්ටුවක් කැඩුනට පස්සේ අඬන ළමයගේයි, මේ මහා මිනිස්සුන්ගෙ වෙනසක් නෑ.",කෝම්පිට්ටුවක් කැඩුනට පස්සේ අඬන ළමයාගේ මේ මහ මිනිස්සුන්ගේ වෙනසක් නෑ
එකෙක්කෙනා මට ඉක්ම්නට බැහැලා යන්න කියලත් කිව්වා. එයාට මංගෙත් එක්ක තරහයි කියලා. සමහර tuk driversලා හරිම හොඳයි,එක්කෙනා මට ඉක්මනට බැහැලා යන්න කියලාත් කිව්වා. එයාට මගෙත් එක තරහා කියලා. සාමහර්ට උග්ඩ්‍රහියිවරුවන් හරිම හොඳයි.
ප්‍රෝටීන කියන්නේ කාබන් ඒ වගේම හයිඩ්‍රජන් ඒ වගේම ඔක්සිජන්,ප්‍රෝටීන කියන්නේ කාබන් එවගේම hydrogen එවගේම oxygen
මෙතනින් I approve කියලා සිලෙක්ට් කරගෙන create එකවුන්ට් click කරගන්න,මෙතනින් අය approve කියලා select කරගෙන create account click කරගන්න
දැන්ම subscribe කරලා bell icon එක ON කරලා තිබුනොත් ඔයාට මම ඊළගට video එකක් upload කරපු ගමන්ම ඒක notification එකකින් දැනගන්න පුලුවන්.,දැන්මත් subscribe කරලා බෙල්ලයි කෙනෙකා on කරලා තිබුනොත් ඔයාට මම ඊළගට video එකක් upload කරපු ගමම්ම ඒක notification එකකින් දැනගන්න පුළුවන්
ඔබට අවශ්‍යතාවය තිබෙනවා නම් ඒ පිළිබඳව වැඩිදුරටත් අධනය කරන්න.,ඔබට අවශ්‍යතාවය තිබෙනවා නම් ඒ පිළිබඳව වැඩිදුරටත් අධ්‍යයනය කරන්න
අන්න ඒක කරන්න අපි යනවා google search console එකට. google search console එකට ගිහින් start now කියන එක click කරගත්තා,අන්න ඒක කරන්න අපි යනවා google search console එකට google search console එකට ගිහින් star නව කෙනෙක් click කරගත්තා
ඔයා කොහොමද ඔයාව ඒ කෙනාට හඳුන්වලා දෙන්නේ,ඔයා කොහොමද ඔයාව ඒ කෙනාට හඳුන්වලා දෙන්නේ
හැබැයි මේ විදිහට තිබ්බම අපි අර console එකේ මුලින් දැකපු ලස්සන නං,හැබැයි මේ විදියට තිබ්බම අපි අර console එකේ මුලින් දකපු ලස්සනනං
ඕකේ මම හොදටම කරන එකක් තමයි මුස්ථා ප්‍රශ්න අහන එක.,ඕකේ මම එකක් හොඳටම කරන එකක් තමයි අං උස්තා ප්‍රශ්න අහන එක
designers ල ඉන්නවා ලංකාවෙ fiver එකේ ග්‍රැෆික් ඩිසයිනින් කරන එතකොට designer කෙනෙක් නං december වෙද්දි november වෙද්දි ඔයාට පුලුවන් new year cards design කරන්න,designers ලා ඉන්නවා ලංකාවේ fiver එකේ graphic designing කරන එතකොට ඔයා designer කෙනෙක් නම් දෙසෙම්බර් වෙද්දි නොවෙම්බර් වෙද්දි ඔයාට පුළුවන් නිව්වේ කාර්ට්ස් design කරන්න
කවදහරි දවසක ඔහු එක්තරා කාලයක කල්පනා කරනවා මම පූජකයෙක් වෙනවයි කියන එක,කවඳ හරි දවසක හෝ එක්තරා කාලයක් කල්පනා කරනවා මම පූජකයෙක් වෙනවා කියලා
ඉතින් ඒකට විසඳුමක් විදියට තමයි අපි මේ prompt chaining කියන method එක පාවිච්චි කරන්නෙ,ඉතින් ඒකට විසඳුමක් විදියට තමයි අපි මේ prompt chain කියන method එක පාවිච්චි කරන්නේ
